UFN-59296|New|false
UFN-59238|New|false
UFN-58476|New|false
UFN-57198|New|false
UFN-57050|New|false
UFN-56957|New|false
UFN-55946|New|false
UFN-55641|New|false
UFN-55198|New|false
UFN-55002|New|false
UFN-54985|New|false
UFN-54721|New|false
UFN-54684|New|false
UFN-54680|New|false
UFN-54576|New|false
UFN-53491|New|false
UFN-52990|New|false
UFN-51805|New|false
UFN-51749|New|false
UFN-51698|New|false
UFN-51184|New|false
UFN-50365|New|false
UFN-49723|New|false
UFN-49524|New|false
UFN-48832|New|false
UFN-48781|New|false
UFN-48777|New|false
UFN-48670|New|false
UFN-48436|New|false
UFN-48225|New|false
UFN-48152|New|false
UFN-47786|New|false
UFN-47190|New|false
UFN-46639|Pending|false
UFN-46564|New|false
UFN-46492|New|false
UFN-46256|Pending|false
UFN-46185|Pending|false
UFN-45763|New|false
UFN-45559|New|false
UFN-45316|New|false
UFN-45186|New|false
UFN-45048|New|false
UFN-44321|New|false
UFN-44139|Pending|false
UFN-43887|Pending|true
UFN-43725|New|false
UFN-43591|New|false
UFN-42730|New|false
UFN-42645|New|false
UFN-42031|New|false
UFN-41878|New|false
UFN-41484|New|false
UFN-40969|New|false
UFN-40860|New|false
UFN-40670|Pending|false
UFN-40654|New|false
UFN-40213|New|false
UFN-39662|New|false
UFN-39403|New|false
UFN-39065|New|false
UFN-37858|New|false
UFN-35774|New|false
UFN-35588|Pending|false
UFN-33722|Pending|false
UFN-33719|Pending|false
UFN-33604|New|false
