ticketNumber|displayStatusName|closeFlag|isSlaBreached|isOverdue
UFN-60125|New|false|true|true
UFN-59971|New|false|true|true
UFN-59915|New|false|true|true
UFN-59777|New|false|true|true
UFN-59657|New|false|true|true
UFN-59296|New|false|true|true
UFN-59238|New|false|true|true
UFN-58476|New|false|true|true
UFN-57198|New|false|true|true
UFN-57050|New|false|true|true
UFN-56957|New|false|true|true
UFN-55946|New|false|true|true
UFN-55641|New|false|true|true
UFN-55198|New|false|true|true
UFN-55002|New|false|true|true
UFN-54985|New|false|true|true
UFN-54721|New|false|true|true
UFN-54684|New|false|true|true
UFN-54680|New|false|true|true
UFN-54576|New|false|true|true
UFN-53491|New|false|true|true
UFN-52990|New|false|true|true
UFN-51805|New|false|true|true
UFN-51749|New|false|true|true
UFN-51698|New|false|true|true
UFN-51184|New|false|true|true
UFN-50365|New|false|true|true
UFN-49723|New|false|true|true
UFN-49524|New|false|true|true
UFN-48832|New|false|true|true
UFN-48781|New|false|true|true
UFN-48777|New|false|true|true
UFN-48670|New|false|true|true
UFN-48436|New|false|true|true
UFN-48225|New|false|true|true
UFN-48152|New|false|true|true
UFN-47786|New|false|true|true
UFN-47190|New|false|true|true
UFN-46564|New|false|true|true
UFN-46492|New|false|true|true
UFN-45763|New|false|true|true
UFN-45559|New|false|true|true
UFN-45316|New|false|true|true
UFN-45186|New|false|true|true
UFN-45048|New|false|true|true
UFN-44321|New|false|true|true
UFN-43725|New|false|true|true
UFN-43591|New|false|true|true
UFN-42730|New|false|true|true
UFN-42645|New|false|true|true
UFN-42031|New|false|true|true
UFN-41878|New|false|true|true
UFN-41484|New|false|true|true
UFN-40969|New|false|true|true
UFN-40860|New|false|true|true
UFN-40654|New|false|true|true
UFN-40213|New|false|true|true
UFN-39662|New|false|true|true
UFN-39403|New|false|true|true
UFN-39065|New|false|true|true
UFN-37858|New|false|true|true
UFN-35774|New|false|true|true
UFN-33604|New|false|true|true
UFN-70576|Pending|false|false|false
UFN-70559|Pending|false|false|false
UFN-70532|Pending|false|false|false
UFN-70517|Pending|false|false|false
UFN-70466|Pending|false|false|false
UFN-70443|Pending|true|false|false
UFN-70440|Pending|false|false|false
UFN-70423|Pending|false|false|false
UFN-70412|Pending|true|false|false
UFN-70304|Pending|true|false|false
UFN-70302|Pending|false|false|false
UFN-70261|Pending|false|true|true
UFN-70246|Pending|false|true|true
UFN-70244|Pending|false|true|true
UFN-70243|Pending|true|true|true
UFN-70130|Pending|true|true|true
UFN-70124|Pending|false|true|true
UFN-69781|Pending|true|true|true
UFN-69738|Pending|false|true|true
UFN-69595|Pending|false|true|true
UFN-69471|Pending|false|true|true
UFN-69462|Pending|false|true|true
UFN-69334|Pending|false|true|true
UFN-69234|Pending|false|true|true
UFN-69231|Pending|false|true|true
UFN-69148|Pending|true|true|true
UFN-68980|Pending|true|true|true
UFN-68951|Pending|false|true|true
UFN-68752|Pending|true|true|true
UFN-68749|Pending|false|true|true
UFN-68714|Pending|false|true|true
UFN-68537|Pending|true|true|true
UFN-68069|Pending|false|true|true
UFN-68064|Pending|true|true|true
UFN-68025|Pending|true|true|true
UFN-68011|Pending|false|true|true
UFN-67775|Pending|true|true|true
UFN-67529|Pending|false|true|true
UFN-67452|Pending|false|true|true
UFN-67291|Pending|false|true|true
UFN-66870|Pending|true|true|true
UFN-65951|Pending|false|true|true
UFN-65196|Pending|true|true|true
UFN-64739|Pending|false|true|true
UFN-64099|Pending|true|true|true
UFN-63959|Pending|false|true|true
UFN-63890|Pending|false|true|true
UFN-63804|Pending|false|true|true
UFN-63762|Pending|false|true|true
UFN-63212|Pending|true|true|true
UFN-61467|Pending|false|true|true
UFN-61390|Pending|false|true|true
UFN-61170|Pending|false|true|true
UFN-60009|Pending|false|true|true
UFN-59720|Pending|true|true|true
UFN-57965|Pending|false|true|true
UFN-48223|Pending|true|true|true
UFN-46639|Pending|false|true|true
UFN-46256|Pending|false|true|true
UFN-46185|Pending|false|true|true
UFN-44139|Pending|false|true|true
UFN-43887|Pending|true|true|true
UFN-40670|Pending|false|true|true
UFN-35588|Pending|false|true|true
UFN-33722|Pending|false|true|true
UFN-33719|Pending|false|true|true
