UFN-61922|New|false|true
UFN-61885|New|false|true
UFN-61666|New|false|true
UFN-61467|Pending|false|true
UFN-61462|New|false|true
UFN-61451|New|false|true
UFN-61390|Pending|false|true
UFN-61190|New|false|true
UFN-60986|New|false|true
UFN-60865|New|false|true
UFN-60786|New|false|true
UFN-60760|New|false|true
UFN-60751|New|false|true
UFN-60595|New|false|true
UFN-60573|New|false|true
UFN-60348|New|false|true
UFN-60125|New|false|true
UFN-60009|Pending|false|true
UFN-59971|New|false|true
UFN-59915|New|false|true
UFN-59777|New|false|true
UFN-59720|Pending|true|true
UFN-59657|New|false|true
UFN-59296|New|false|true
UFN-59238|New|false|true
UFN-58476|New|false|true
UFN-57198|New|false|true
UFN-57050|New|false|true
UFN-56957|New|false|true
UFN-55946|New|false|true
UFN-55641|New|false|true
UFN-55198|New|false|true
UFN-55002|New|false|true
UFN-54985|New|false|true
UFN-54721|New|false|true
UFN-54684|New|false|true
UFN-54680|New|false|true
UFN-54576|New|false|true
UFN-53491|New|false|true
UFN-52990|New|false|true
UFN-51805|New|false|true
UFN-51749|New|false|true
UFN-51698|New|false|true
UFN-51184|New|false|true
UFN-50365|New|false|true
UFN-49723|New|false|true
UFN-49524|New|false|true
UFN-48832|New|false|true
UFN-48781|New|false|true
UFN-48777|New|false|true
UFN-48670|New|false|true
UFN-48436|New|false|true
UFN-48225|New|false|true
UFN-48152|New|false|true
UFN-47786|New|false|true
UFN-47190|New|false|true
UFN-46639|Pending|false|true
UFN-46564|New|false|true
UFN-46492|New|false|true
UFN-46256|Pending|false|true
UFN-46185|Pending|false|true
UFN-45763|New|false|true
UFN-45559|New|false|true
UFN-45316|New|false|true
UFN-45186|New|false|true
UFN-45048|New|false|true
UFN-44321|New|false|true
UFN-44139|Pending|false|true
UFN-43887|Pending|true|true
UFN-43725|New|false|true
UFN-43591|New|false|true
UFN-42730|New|false|true
UFN-42645|New|false|true
UFN-42031|New|false|true
UFN-41878|New|false|true
UFN-41484|New|false|true
UFN-40969|New|false|true
