UFN-65214|closed|20|true
UFN-69405|closed|20|true
UFN-69811|closed|20|true
UFN-70098|closed|20|true
UFN-70100|closed|20|true
UFN-70255|closed|20|true
UFN-70404|closed|20|true
UFN-70863|closed|20|true
UFN-70946|closed|20|true
UFN-70984|closed|20|true
UFN-70992|closed|20|true
UFN-71007|closed|20|true
UFN-71073|closed|20|true
UFN-71085|closed|20|true
UFN-71131|closed|20|true
UFN-71134|closed|20|true
UFN-71147|closed|20|true
UFN-71152|Reopen|10|true
UFN-71161|closed|20|true
UFN-71162|closed|20|true
UFN-71314|closed|20|true
UFN-71331|closed|20|true
UFN-71353|closed|20|true
UFN-71355|closed|20|true
UFN-71360|Reopen|10|true
UFN-71366|closed|20|true
UFN-71370|Reopen|10|true
UFN-71378|closed|20|true
UFN-71379|closed|20|true
UFN-71390|closed|20|true
UFN-71393|closed|20|true
